slide_id,anchor,wikipedia_concept,url,secondary concepts,already seen,another langage,Image_based,nothing found,nothing relative to the course,Comment
1,utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,,True,
3,informatique ubiquitaire,Informatique ubiquitaire,https://fr.wikipedia.org/wiki/Informatique_ubiquitaire,,,,,,,
3,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,,
4,programmation,Programmation informatique,https://fr.wikipedia.org/wiki/Programmation_informatique,,,,,,,
4,monde numérique,Numérique,https://fr.wikipedia.org/wiki/Num%C3%A9rique,,,,,,,
4,culture informatique,Culture numérique,https://fr.wikipedia.org/wiki/Culture_num%C3%A9rique,,,,,,,
4,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,True,True,,,,,
4,machine,Machine,https://fr.wikipedia.org/wiki/Machine,True,,,,,,
4,codage,Codage,https://fr.wikipedia.org/wiki/Codage,True,,,,,,
4,langage,Langage informatique,https://fr.wikipedia.org/wiki/Langage_informatique,True,,,,,,
4,algorithme,Algorithme,https://fr.wikipedia.org/wiki/Algorithme,True,,,,,,
5,utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,,,
6,intelligence humaine,Intelligence humaine,https://fr.wikipedia.org/wiki/Intelligence_humaine,,,,,,,
6,intelligence artificielle,Intelligence artificielle,https://fr.wikipedia.org/wiki/Intelligence_artificielle,,,,,,,
6,résoudre des problèmes,Résolution de problème,https://fr.wikipedia.org/wiki/R%C3%A9solution_de_probl%C3%A8me,,,,,,,
6,modélisation de l’utilisateur,User modeling,https://en.wikipedia.org/wiki/User_modeling,,,en,,,,
7,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,,
7,,Vine,https://fr.wikipedia.org/wiki/Vine,,,,True,,,
7,,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,True,,,
7,,LinkedIn,https://fr.wikipedia.org/wiki/LinkedIn,,,,True,,,
7,,Twitter,https://fr.wikipedia.org/wiki/Twitter,,,,True,,,
7,,Skype,https://fr.wikipedia.org/wiki/Skype,,,,True,,,
7,,Google+,https://fr.wikipedia.org/wiki/Google%2B,,,,True,,,
8,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,True,,,,,
8,Facebook,Facebook (entreprise),https://fr.wikipedia.org/wiki/Facebook_(entreprise),,,,,,,
8,Wall Street Journal,The Wall Street Journal,https://fr.wikipedia.org/wiki/The_Wall_Street_Journal,True,,,,,,
8,Myspace,Myspace,https://fr.wikipedia.org/wiki/Myspace,,,,,,,
8,Rupert Murdoch,Rupert Murdoch,https://fr.wikipedia.org/wiki/Rupert_Murdoch,,,,,,,
8,Specific Media,Specific Media,https://fr.wikipedia.org/wiki/Specific_Media,,,,,,,
8,Viadeo,Viadeo,https://fr.wikipedia.org/wiki/Viadeo,,,,,,,
8,LinkedIn,LinkedIn,https://fr.wikipedia.org/wiki/LinkedIn,,True,,,,,
8,Twitter,Twitter,https://fr.wikipedia.org/wiki/Twitter,,True,,,,,
9,ONU,Organisation des Nations unies,https://fr.wikipedia.org/wiki/Organisation_des_Nations_unies,,,,,,,
9,Ebay,eBay,https://fr.wikipedia.org/wiki/EBay,,,,,,,
9,Amazon,Amazon (entreprise),https://fr.wikipedia.org/wiki/Amazon_(entreprise),,,,,,,
9,diapo,Massive Open Online Course,https://fr.wikipedia.org/wiki/Massive_Open_Online_Course,,,,,,,
10,effet du petit monde,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,,,,,,
11,six degrés de séparation,Six degrés de séparation,https://fr.wikipedia.org/wiki/Six_degr%C3%A9s_de_s%C3%A9paration,,,,,,,
11,Stanley Milgram ,Stanley Milgram,https://fr.wikipedia.org/wiki/Stanley_Milgram,,,,,,,
11,expérience du petit monde de 1967 réalisée par le psychologue Stanley Milgram ,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,Truz,,,,,
13,Hatebook,,,,,,,True,,
15,effet du petit monde,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,True,,,,,
16,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,,
16,sommet,Sommet (géométrie),https://fr.wikipedia.org/wiki/Sommet_(g%C3%A9om%C3%A9trie),,,,,,,
16,arc,Arc,https://fr.wikipedia.org/wiki/Arc#Math%C3%A9matiques,,,,,,,
16,arête ,Arête (géométrie),https://fr.wikipedia.org/wiki/Ar%C3%AAte_(g%C3%A9om%C3%A9trie),,,,,,,
17,réseau social (symbolique),Réseau,https://fr.wikipedia.org/wiki/R%C3%A9seau,,,,,,,
20,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
20,propriété,Propriété (philosophie),https://fr.wikipedia.org/wiki/Propri%C3%A9t%C3%A9_(philosophie),,,,,,,
21,Les graphes sont utilisés pour représenter un réseau social,Théorie des réseaux,https://fr.wikipedia.org/wiki/Th%C3%A9orie_des_r%C3%A9seaux,,,,,,,
21,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
23,théorie de l’information,Théorie de l'information,https://fr.wikipedia.org/wiki/Th%C3%A9orie_de_l%27information,,,,,,,
23,capital social,Capital social,https://fr.wikipedia.org/wiki/Capital_social,,,,,,,
24,capital social,Capital social,https://fr.wikipedia.org/wiki/Capital_social,,True,,,,,
25,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
25,propriété,Propriété (philosophie),https://fr.wikipedia.org/wiki/Propri%C3%A9t%C3%A9_(philosophie),,True,,,,,
25,théorie des graphes,Théorie des graphes,https://fr.wikipedia.org/wiki/Th%C3%A9orie_des_graphes,,,,,,,
25,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,True,,,,,
25,analyse des réseaux sociaux,Analyse des réseaux sociaux,https://fr.wikipedia.org/wiki/Analyse_des_r%C3%A9seaux_sociaux,,,,,,,
25,connexité,Graphe connexe,https://fr.wikipedia.org/wiki/Graphe_connexe,True,,,,,,
25,chemin,Chemin (théorie des graphes),https://fr.wikipedia.org/wiki/Chemin_(th%C3%A9orie_des_graphes),True,,,,,,
25,clique,Clique (théorie des graphes),https://fr.wikipedia.org/wiki/Clique_(th%C3%A9orie_des_graphes),True,,,,,,
25,coupes du graphe,Coupe (théorie des graphes),https://fr.wikipedia.org/wiki/Coupe_(th%C3%A9orie_des_graphes),True,,,,,,
25,flux,Flots dans les réseaux,https://fr.wikipedia.org/wiki/Th%C3%A9orie_des_graphes#Flots_dans_les_r%C3%A9seaux,True,,,,True,,mauvais choix de terme par l’auteur ?
27,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
27,non orienté,Graphe non orienté,https://fr.wikipedia.org/wiki/Graphe_non_orient%C3%A9,,,,,,,
27,vertex,Sommet (géométrie),https://fr.wikipedia.org/wiki/Sommet_(g%C3%A9om%C3%A9trie),True,,,,,,
27,arête ,Arête (géométrie),https://fr.wikipedia.org/wiki/Ar%C3%AAte_(g%C3%A9om%C3%A9trie),True,True,,,,,
27,boucles,Boucle (théorie des graphes),https://fr.wikipedia.org/wiki/Boucle_(th%C3%A9orie_des_graphes),True,,,,,,
27,arête incidente,,,True,,,,True,,
29,graphe orienté,Graphe orienté,https://fr.wikipedia.org/wiki/Graphe_orient%C3%A9,,,,,,,
29,sommet,Sommet (géométrie),https://fr.wikipedia.org/wiki/Sommet_(g%C3%A9om%C3%A9trie),True,,,,,,
29,arc,Arc,https://fr.wikipedia.org/wiki/Arc#Math%C3%A9matiques,True,,,,,,
29,orienté,Graphe orienté,https://fr.wikipedia.org/wiki/Graphe_orient%C3%A9,True,,,,,,
29,origine,Graphe orienté,https://fr.wikipedia.org/wiki/Graphe_orient%C3%A9,True,,,,,,
29,extrémité,Graphe orienté,https://fr.wikipedia.org/wiki/Graphe_orient%C3%A9,True,,,,,,
31,isomorphisme de graphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,,,,,,
31,isomorphe,Isomorphisme,https://fr.wikipedia.org/wiki/Isomorphisme,,,,,,,
32,isomorphe,Isomorphisme,https://fr.wikipedia.org/wiki/Isomorphisme,,,,,,,
33,isomorphe,Isomorphisme,https://fr.wikipedia.org/wiki/Isomorphisme,,True,,,,,
34,isomorphe,Isomorphisme,https://fr.wikipedia.org/wiki/Isomorphisme,,True,,,,,
35,isomorphisme de graphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,True,,,,,
35,isomorphe,Isomorphisme,https://fr.wikipedia.org/wiki/Isomorphisme,,True,,,,,
36,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
37,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
37,chimie,Chimie,https://fr.wikipedia.org/wiki/Chimie,,,,,,,
38,Graphes de Delaunay,Triangulation de Delaunay,https://fr.wikipedia.org/wiki/Triangulation_de_Delaunay,,,,,,,
41,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
41,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,True,,,,,
41,site web,Site web,https://fr.wikipedia.org/wiki/Site_web,,,,,,,
41,molécule,Représentation des molécules,https://fr.wikipedia.org/wiki/Repr%C3%A9sentation_des_mol%C3%A9cules#Repr%C3%A9sentations_non_sp%C3%A9cifiques_%C3%A0_la_chimie_organique,,,,,,,
42,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,True,,,,,
44,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,,,
46,table,Relation binaire,https://fr.wikipedia.org/wiki/Relation_binaire,,,,,True,,mauvais choix de terme par l’auteur ? tableau à deux entrées
47,matrice,Matrice (mathématiques),https://fr.wikipedia.org/wiki/Matrice_(math%C3%A9matiques),,,,,,,
47,table,Relation binaire,https://fr.wikipedia.org/wiki/Relation_binaire,,,,,True,,mauvais choix de terme par l’auteur ? tableau à deux entrées
48,table,Relation binaire,https://fr.wikipedia.org/wiki/Relation_binaire,,,,,True,,mauvais choix de terme par l’auteur ? tableau à deux entrées
