"slide","anchor","wikipedia concept","url","slide-focus","Image-based","where","use","out-of-domain","Comment"
"1","Langage naturel","Langage naturel","https://fr.wikipedia.org/wiki/Langage_naturel","True","false","fr","now","false"," appear in each slide"
"1","Language naturel problèmes et solutions informatiques","Traitement automatique du langage naturel","https://fr.wikipedia.org/wiki/Traitement_automatique_du_langage_naturel","True","false","fr","now","false",""
"2","L'Odyssée de l'espace","Odyssées de l'espace","https://fr.wikipedia.org/wiki/Odyss%C3%A9es_de_l%27espace","false","false","fr","later","True",""
"2","l'ordinateur HAL","HAL 9000","https://fr.wikipedia.org/wiki/HAL_9000","True","false","fr","now","false",""
"2","commandes","Command","https://en.wikipedia.org/wiki/Command","True","false","en","now","false",""
"2","l'ordinateur HAL","HAL 9000","https://fr.wikipedia.org/wiki/HAL_9000","True","false","en","now","false",""
"3","L'Odyssée de l'espace","Odyssées de l'espace","https://fr.wikipedia.org/wiki/Odyss%C3%A9es_de_l%27espace","false","false","fr","later","True",""
"4","Applications","Application","https://fr.wikipedia.org/wiki/Application","True","false","en","now","false",""
"4","TALN","Traitement automatique du langage naturel","https://fr.wikipedia.org/wiki/Traitement_automatique_du_langage_naturel","True","false","fr","now","false",""
"4","Correcteurs orthographiques et grammaticaux dans les traitements de textes ","Logiciel de traitement de texte","https://fr.wikipedia.org/wiki/Logiciel_de_traitement_de_texte","True","false","fr","now","false",""
"4","Systèmes de traduction automat","System","https://en.wikipedia.org/wiki/System","True","false","en","now","false",""
"4","TALN","Traitement automatique du langage naturel","https://fr.wikipedia.org/wiki/Traitement_automatique_du_langage_naturel","True","false","fr","now","false",""
"5","Applications","Application","https://fr.wikipedia.org/wiki/Application","True","false","en","now","false",""
"5","Moteurs de recherche","Moteur de recherche ","https://fr.wikipedia.org/wiki/Moteur_de_recherche","True","false","fr","now","false",""
"5","Assistante personnelle virtuelle","Assistant personnel intelligent","https://fr.wikipedia.org/wiki/Assistant_personnel_intelligent","True","false","fr","now","false",""
"6","Recherche de motifs","Filtrage par motif","https://fr.wikipedia.org/wiki/Filtrage_par_motif","True","false","fr","now","false",""
