"slide","anchor","wikipedia concept","url","Speech-focus","Image-based","where ","use","out-of-domain","comment"
"1","traitement automatique du lagage naturel","Traitement automatique du language naturel","https://fr.wikipedia.org/wiki/Traitement_automatique_du_langage_naturel","True","false","fr","now","false",""
"1","application","Application(informatique)","https://fr.wikipedia.org/wiki/Application_(informatique)","True","false","fr","now","false",""
"1","informatique ","Informatique","https://fr.wikipedia.org/wiki/Informatique","True","false","fr","now","false",""
"1","la langue","Langue","https://fr.wikipedia.org/wiki/Langue","True","false","fr","now","false",""
"1","Système","Système","https://fr.wikipedia.org/wiki/Syst%C3%A8me","True","false","fr","now","Maybe",""
"1","Langue naturelle","Langage naturelle","https://fr.wikipedia.org/wiki/Langage_naturel","True","false","fr","now","false",""
"1","algorithmes","Algorithme","https://fr.wikipedia.org/wiki/Algorithme","True","false","fr","now","false",""
"1","informaticiens","Informaticien","https://fr.wikipedia.org/wiki/Informaticien","True","false","fr","now","false",""
"2","espace-temps","Espace-temps","https://fr.wikipedia.org/wiki/Espace-temps","True","false","fr","Later","true",""
"2","l'odyssée de l'espace","Odyssées de l'espace","https://fr.wikipedia.org/wiki/Odyss%C3%A9es_de_l%27espace","True","false","fr","now","false",""
"2","ordaniteur","Ordaniteur","https://fr.wikipedia.org/wiki/Ordinateur","True","false","fr","now","false",""
"2","hal","Hal","https://fr.wikipedia.org/wiki/Hal","True","false","fr","nw","false",""
"2","dialogue","Dialogue","https://fr.wikipedia.org/wiki/Dialogue","True","false","fr","now","false",""
"2","commandes","Commande","https://fr.wikipedia.org/wiki/Commande","True","false","fr","now","false",""
"2","émotions","Émotions","https://fr.wikipedia.org/wiki/%C3%89motion","True","false","fr","now","false",""
"2","cognition","Cognition","https://fr.wikipedia.org/wiki/Cognition","True","false","fr","now","false",""
"2","dialogue homme machine","Interactions homme-machine","https://fr.wikipedia.org/wiki/Interactions_homme-machine","True","false","fr","now","false",""
"4","traitement de texte","Traitement de texte","https://fr.wikipedia.org/wiki/Traitement_de_texte","","false","fr","now","false",""
"4","signal","Signal","https://fr.wikipedia.org/wiki/Signal","","false","fr","now","false",""
"4","correcteurs ","Correcteur(informatique)","https://fr.wikipedia.org/wiki/Correcteur_(informatique)","","false","fr","now","false",""
"5","moteurs de recherche ","Moteur de recherche","https://fr.wikipedia.org/wiki/Moteur_de_recherche","","false","fr","now","false",""
"6","écriture logographique","Logogramme","https://fr.wikipedia.org/wiki/Logogramme","","false","fr","now","false",""
"7","bits","Bit","https://fr.wikipedia.org/wiki/Bit","","false","fr","now","false",""
"8","code ascii","American Standard Code for Information Interchange","https://fr.wikipedia.org/wiki/American_Standard_Code_for_Information_Interchange","","false","fr","now","false",""
"8","norme iso","Liste de normes ISO","https://fr.wikipedia.org/wiki/Liste_de_normes_ISO","","false","fr","now","false",""
"8","caractères de contrôle","Caractère de contrôle","https://fr.wikipedia.org/wiki/Caract%C3%A8re_de_contr%C3%B4le","","false","fr","now","false",""
"12","linux","Linux","https://fr.wikipedia.org/wiki/Linux","","false","fr","now","false",""
"12","séparateur de mots /  délimiteur","Séparateur de mots","https://fr.wikipedia.org/wiki/S%C3%A9parateur_de_mots","","false","fr","now","false",""
"30","expressions rationnelles","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","","false","fr","now","false",""
"31","une expression régulière","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","","false","fr","now","false",""
