slide_id,anchor,wikipedia_concept,url,Slide-focus,Image-based,where,use,Out-of-domain,Comment
1,ALGORITHMIQUE DISTRIBUÉE,Algorithmique répartie,https://fr.wikipedia.org/wiki/Algorithmique_r%C3%A9partie,,,,,,
2,Algorithmique,Algorithmique,https://fr.wikipedia.org/wiki/Algorithmique,,,,,,
2,Distribuée,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
2,Algorithmique répartie,Algorithmique répartie,https://fr.wikipedia.org/wiki/Algorithmique_r%C3%A9partie,,True,,,,
3,,Jeu de cartes,https://fr.wikipedia.org/wiki/Jeu_de_cartes,,,,,,
4,nformatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
4,Distribution ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
4,Modélisation,Modélisation,https://fr.wikipedia.org/wiki/Mod%C3%A9lisation,,,,,,
5,prise de note,Prise de notes,https://fr.wikipedia.org/wiki/Prise_de_notes,,,,,,
6,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
6,Pascaline ,Pascaline,https://fr.wikipedia.org/wiki/Pascaline,,,,later,,
7,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
7,Arithnometre ,Arithmomètre,https://fr.wikipedia.org/wiki/Arithmom%C3%A8tre,,,,later,,
8,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
9,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
9,Graham Bell ,Alexander Graham Bell,https://fr.wikipedia.org/wiki/Alexander_Graham_Bell,,,,later,,
10,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
10,Télégraphe sans fil ,Télégraphie sans fil,https://fr.wikipedia.org/wiki/T%C3%A9l%C3%A9graphie_sans_fil,,,,,,
11,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
11,Transistor ,Transistor,https://fr.wikipedia.org/wiki/Transistor,,,,later,,
12,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
12,ENIAC ,ENIAC,https://fr.wikipedia.org/wiki/ENIAC,,,,,,
13,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
13,ENIAC ,ENIAC,https://fr.wikipedia.org/wiki/ENIAC,,,,,,
14,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
14,IBM 650,IBM 650,https://fr.wikipedia.org/wiki/IBM_650,,,,,,
15,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
15,DEC PDP - 1 ,PDP-1,https://fr.wikipedia.org/wiki/PDP-1,,,,,,
16,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
16,Micral N ,Micral,https://fr.wikipedia.org/wiki/Micral,,,,,,
17,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
17,Scelbi,SCELBI,https://en.wikipedia.org/wiki/SCELBI,,,-en,,,
17,Micro-ordinateur,Ordinateur personnel,https://fr.wikipedia.org/wiki/Ordinateur_personnel,,,,,,
18,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
18,IBM 5100,IBM 5100 et 5110,https://fr.wikipedia.org/wiki/IBM_5100_et_5110,,,,,,
19,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
19,Apple I ,Apple I,https://fr.wikipedia.org/wiki/Apple_I,,,,,,
20,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
20,PC,Ordinateur personnel,https://fr.wikipedia.org/wiki/Ordinateur_personnel,,,,,,
21,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
21,performance ,Performance,https://fr.wikipedia.org/wiki/Performance,,,,,,
21,miniaturisation ,Miniaturisation,https://fr.wikipedia.org/wiki/Miniaturisation,,,,,,
22,informaticiens,Informaticien,https://fr.wikipedia.org/wiki/Informaticien,,,,,,
22,FLOPS ,FLOPS,https://fr.wikipedia.org/wiki/FLOPS,,,,required-now,,
23,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
23,IBM Blue Gene P,Blue Gene,https://fr.wikipedia.org/wiki/Blue_Gene,,,,,,
23,RoadRunner,Roadrunner (supercalculateur),https://fr.wikipedia.org/wiki/Roadrunner_(supercalculateur),,,,,,
24,Puissance de calcul,FLOPS,https://fr.wikipedia.org/wiki/FLOPS,,,,,,
25,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
25,Sequoia IBM,Sequoia (supercalculateur),https://fr.wikipedia.org/wiki/Sequoia_(supercalculateur),,,,,,
26,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
26,Tianhe-2,Tianhe-2,https://fr.wikipedia.org/wiki/Tianhe-2,,,,,,
27,Puissance de calcul,FLOPS,https://fr.wikipedia.org/wiki/FLOPS,,,,,,
26,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,,
28,INTERNET,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
29,INTERNET,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
29,ARPANET,ARPANET,https://fr.wikipedia.org/wiki/ARPANET,,,,,,
29,NSF,National Science Foundation,https://fr.wikipedia.org/wiki/National_Science_Foundation,,,,,,
30,INTERNET,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
31,INTERNET,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
32,Calcul parallèle,Parallélisme (informatique),https://fr.wikipedia.org/wiki/Parall%C3%A9lisme_(informatique),,,,,,
32,Superordinateurs ,Superordinateur,https://fr.wikipedia.org/wiki/Superordinateur,,,,required-now,,
33,Multiprocesseur,Multiprocesseur,https://fr.wikipedia.org/wiki/Multiprocesseur,,,,,,
33,Internet,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
34,Cloud computing,Cloud computing,https://fr.wikipedia.org/wiki/Cloud_computing,,,,,,
36,Systèmes distribués ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
36,réseau de communication ,Réseau de télécommunications,https://fr.wikipedia.org/wiki/R%C3%A9seau_de_t%C3%A9l%C3%A9communications,,,,,,
37,Systèmes distribués ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
37,ordinateurs,Ordinateur,https://fr.wikipedia.org/wiki/Ordinateur,,,,,,
38,Systèmes distribués ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
40,Systèmes distribués ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
41,Téléphonie ,Téléphonie,https://fr.wikipedia.org/wiki/T%C3%A9l%C3%A9phonie,,,,,,
42,Jeux en réseaux ,Multijoueur,https://fr.wikipedia.org/wiki/Multijoueur,,,,,,
42,LAN,Réseau local,https://fr.wikipedia.org/wiki/R%C3%A9seau_local,false,,,,,
42,MMORPG,Jeu de rôle en ligne massivement multijoueur,https://fr.wikipedia.org/wiki/Jeu_de_r%C3%B4le_en_ligne_massivement_multijoueur,false,,,,,
43,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,false,,,,,
43,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,,
44,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,false,,,,,
44,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,,
45,webservice,Service web,https://fr.wikipedia.org/wiki/Service_web,,,,,,
46,Pair -à-pair,Pair à pair,https://fr.wikipedia.org/wiki/Pair_%C3%A0_pair,,,,,,
46,Peer -to -peer ,Pair à pair,https://fr.wikipedia.org/wiki/Pair_%C3%A0_pair,,,,,,
33,Internet,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
47,Modélisation 3D,Modélisation tridimensionnelle,https://fr.wikipedia.org/wiki/Mod%C3%A9lisation_tridimensionnelle,,,,,,
47,Modélisation,Modélisation,https://fr.wikipedia.org/wiki/Mod%C3%A9lisation,,,,,,
48,Calcul réparti ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
48,Décodage,Chiffrement,https://fr.wikipedia.org/wiki/Chiffrement,,,,,,
49,Calcul réparti ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
51,Systèmes distribués ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
51,collaboration ,Collaboration,https://fr.wikipedia.org/wiki/Collaboration,,,,,,
53,Modélisation,Modélisation,https://fr.wikipedia.org/wiki/Mod%C3%A9lisation,,,,,,
54,Graphe ,Graphe (type abstrait),https://fr.wikipedia.org/wiki/Graphe_(type_abstrait),,,,required-now,,
55,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,false,,,,,
57,Diagramme de séquence,Diagramme de séquence,https://fr.wikipedia.org/wiki/Diagramme_de_s%C3%A9quence,,,,,,
58,Diagramme de séquence,Diagramme de séquence,https://fr.wikipedia.org/wiki/Diagramme_de_s%C3%A9quence,,,,,,
60,Distribution ,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
60,Synchronisation,Synchronisation (multitâches),https://fr.wikipedia.org/wiki/Synchronisation_(multit%C3%A2ches),,,,,,
60,Auto-stabilisation ,Autostabilisation,https://fr.wikipedia.org/wiki/Autostabilisation,,,,,,
61,supercalculateurs,Superordinateur,https://fr.wikipedia.org/wiki/Superordinateur,,,,,,
62,interblocages,Interblocage,https://fr.wikipedia.org/wiki/Interblocage,,,,,,
63,Synchrone,Synchronisme,https://fr.wikipedia.org/wiki/Synchronisme,,,,,,
64,Asynchrone,Asynchronisme,https://fr.wikipedia.org/wiki/Asynchronisme,,,,,,
65,interblocages,Interblocage,https://fr.wikipedia.org/wiki/Interblocage,,,,,,
66,interblocages,Interblocage,https://fr.wikipedia.org/wiki/Interblocage,,,,,,
67,Système distribué,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
67,Tolérance aux défaillances,Tolérance aux pannes,https://fr.wikipedia.org/wiki/Tol%C3%A9rance_aux_pannes,,,,,,
72,Système distribué,Calcul distribué,https://fr.wikipedia.org/wiki/Calcul_distribu%C3%A9,,,,,,
