slide_id,anchor,wikipedia_concept,url,where,use,Out-of-domain,same_word,
1,utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,
1,algorithmique,Algorithmique,https://fr.wikipedia.org/wiki/Algorithmique,,,,,
1,informatique,Informatique,https://fr.wikipedia.org/wiki/Informatique,,,,,
3,informatique ubiquitaire,Informatique ubiquitaire,https://fr.wikipedia.org/wiki/Informatique_ubiquitaire,,,,,
4,algorithmique,Algorithmique,https://fr.wikipedia.org/wiki/Algorithmique,,,,,
4,langage de programmation,Langage de programmation,https://fr.wikipedia.org/wiki/Langage_de_programmation,,,,,
4,informatique [pi] ubiquitaire,Informatique ubiquitaire,https://fr.wikipedia.org/wiki/Informatique_ubiquitaire,,,,,
5,utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,
6,utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,
6,moteur de recherche,Moteur de recherche,https://fr.wikipedia.org/wiki/Moteur_de_recherche,,,,,
6,intelligence artificielle,intelligence artificielle,https://fr.wikipedia.org/wiki/Intelligence_artificielle,,,,,
7,réseaux sociaux,Réseau social ,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,réseau social,
8,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
8,utilisateurs,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,
8,myspace,Myspace,https://fr.wikipedia.org/wiki/Myspace,,,,,
8,Rupert Murdoch,Rupert Murdoch,https://fr.wikipedia.org/wiki/Rupert_Murdoch,,,,,
8,réseaux sociaux,Réseau social ,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,réseau social,
8,Viadeo,Viadeo,https://fr.wikipedia.org/wiki/Viadeo,,,,,
8,LinkedIn,LinkedIn,https://fr.wikipedia.org/wiki/LinkedIn,,,,,
8,Twitter,Twitter,https://fr.wikipedia.org/wiki/Twitter,,,,,
9,onu,Organisation des Nations unies ,https://fr.wikipedia.org/wiki/Organisation_des_Nations_unies,,,,,
9,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,réseau [pi] social,
9,relations,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
9,site web,Site web,https://fr.wikipedia.org/wiki/Site_web,,,,,
9,utilisateurs,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,
9,amazon,Amazon (entreprise),https://fr.wikipedia.org/wiki/Amazon_(entreprise),,,,,
9,mooc,Massive Open Online Course,https://fr.wikipedia.org/wiki/Massive_Open_Online_Course,,,,moque/moocs,
9,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
10,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
10,petit monde,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,,,,
10,milgram,Stanley Milgram,https://fr.wikipedia.org/wiki/Stanley_Milgram,,,,,
10,expérience,Expérience de Milgram,https://fr.wikipedia.org/wiki/Exp%C3%A9rience_de_Milgram,,,,,
11,six degrés de séparation,Six degrés de séparation,https://fr.wikipedia.org/wiki/Six_degr%C3%A9s_de_s%C3%A9paration,,,,,
11,stanley mi() milgram,Stanley Milgram,https://fr.wikipedia.org/wiki/Stanley_Milgram,,,,,
11,expérience de mille neuf cent soixante-sept du psychologue stanley mi() milgram,Expérience de Milgram,https://fr.wikipedia.org/wiki/Exp%C3%A9rience_de_Milgram,,,,,
11,microsoft,Microsoft,https://fr.wikipedia.org/wiki/Microsoft,,,,,
11,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
11,relations,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
12,cinq à sept degrés de séparation,Six degrés de séparation,https://fr.wikipedia.org/wiki/Six_degr%C3%A9s_de_s%C3%A9paration,,,,,
13,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
13,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
13,hatebook,,,out-of-wikipedia,,,,
